type,id,section,clean_key,feature,lower,upper,insight,suggestion,ideal_value
Headline,1,word_balance,emotional,emotional_count,0,0,Your content contains no emotional words. Data has shown that the average number of page views yielded by headlines without emotional words are ~ 10% lower than those that contain such words.,Add more emotional words in your content to make it more impactful. ,Ideal headlines contains atleast 1 emotional word.
Headline,1,word_balance,emotional,emotional_count,0,0,No emotional words identified in the content. Analysis has shown that adding such words could lead to 10% higher content views.,Try adding a few words in your content which have an emotional impact on the reader. ,Ideal headlines contains atleast 1 emotional word.
Headline,1,word_balance,emotional,emotional_count,0,0,"Your headline is missing emotional words, these words generally leads to higher engagements and content views by ~ 10%.",Try to add few emotional words in the text to drive a bigger impact. ,Ideal headlines contains atleast 1 emotional word.
Headline,1,word_balance,emotional,emotional_count,1,1000,"Great, your headline contains the right amount of emotional words. ",None,Ideal headlines contains atleast 1 emotional word.
Headline,4,word_balance,power,power_count,0,0,"Your content contains no power words. In general, headlines with no power words tend to garner 8-10% lower audience reach, clicks and shares by 8 - 10%.",Add atleast 1 power word in the text to make the content more impactful and potenitally increase audience reach. ,Good headlines are composed of atleast 1 power word in the content. 
Headline,4,word_balance,power,power_count,0,0,No power words were identified in the content - analysis idicates that 8-10% lower engagements are observed in the absence of power words.,Add atleast 1 power word in the content to make it more impactful. ,Good headlines are composed of atleast 1 power word in the content. 
Headline,4,word_balance,power,power_count,0,0,Your content is missing power words. A balanced usage of words in the content drives higher clicks and shares from the readers.,Try to add atleast 1 power word in the content to make it more impactful. ,Good headlines are composed of atleast 1 power word in the content. 
Headline,4,word_balance,power,power_count,0,0,"Your content is not balanced in terms of word usage. A better use of emotional and power words in the content generally leads to almost 11% higher engagements and content views, on average. ",Try to add few power words in your content to make it more impactful.,Good headlines are composed of atleast 1 power word in the content. 
Headline,4,word_balance,power,power_count,1,1000,Your headline contains right amount of power words !,None,Good headlines are composed of atleast 1 power word in the content. 
Headline,7,word_balance,common,common_count,0,0,Adding common words improves the grammar & structure of your headline as well as the associated SEO.,Improve the grammatical structure of your content by adding  more common words to your headline.,A well written proper content is made up of 18 to 25% common words.
Headline,8,word_balance,common,common_count,0,0,No common words identified in the content. An absence of common words may make the content difficult to read and understand.,"Add common words to your text, to make it more readable.",A well-written proper content is made up of 18 to 25% common words.
Headline,7,word_balance,common,common_count,0,0,No regular words were identified in the content. Using comon words (vocabularly) ensures that the text is readable and complete.,"Prepositions, articles etc. are examples of commonly used words & adding them in the text could make improve the grammar & readability of your content.",A well-written proper content is made up of 18 to 25% common words.
Headline,7,word_balance,common,common_count,1,40,Your content is composed of the ideal proportion of common words.,None,A well-written proper content is made up of 18 to 25% common words.
Headline,8,word_balance,common,common_count,41,1000,High common word percentage could lead to a lack of focus on themes that keep readers engaged.,"Try decreasing the number of common words in your headline, to the ideal range of 18 - 25%",A well-written proper content is made up of 18 to 25% common words.
Headline,8,word_balance,common,common_count,41,1000,Your common words percentage is high and this could lead to a lack of focus on the main theme mentioned.,"Try decreasing the number of common words in your headline, to the ideal range of 18 to 25%",A well-written proper content is made up of 18 to 25% common words.
Headline,8,word_balance,uncommon,uncommon_count,0,0,"Your content is missing uncommon words, good headlines are composed of uncommon words that could drive more attention.","Try to add atleast one uncommon word in the text, ",Uncommon words are used less frequently but strengthens the headlines.  Atleast 1 uncommon word are ideal
Headline,8,word_balance,uncommon,uncommon_count,1,1000,"Your content is contains uncommon words, which makes the headline better. ",None,Uncommon words are used less frequently but strengthens the headlines.  Atleast 1 uncommon word are ideal
Headline,12,text_stats,characters,character_len,0,20,Your headline is very short & this could lead to ambiguity which may not be well received by the audience.,Try increasing the length of your headline to make it more impactful & this may further improve it's SEO value.,Ideal: ~ 25 to 130
Headline,12,text_stats,characters,character_len,0,20,Posts and headlines with very few characters (< 20) tend to perform worse since they may not show a complete picture.,Try to increase the length of your headline. Add more words or use different words with similar meanings to improve it's SEO value.,Ideal: ~ 25 to 130
Headline,12,text_stats,characters,character_len,21,99,"Your text contains the optimal number of characters, The range 20 to 130 is considered the ideal range for optimizing your SEO.",None,Ideal: ~ 25 to 130
Headline,14,text_stats,characters,character_len,100,1000,Headlines with a lot of characters (> 130) become arduous to read and tend not to be engaging enough for the readers.,"Your content is a bit lengthy, try to decrease the number of words/characters (~ 25 to 130) to make it more readable, and improve SEO.",Ideal: ~ 25 to 130
Headline,14,text_stats,characters,character_len,100,1000,You're using too many characters (> 130) in the headline.,"Try to decrease the number of characters, (ideal is 25 to 130) used in the headline for a neat and crisp headline.",Ideal: ~ 25 to 130
Headline,14,text_stats,characters,character_len,100,1000,"Your content is too lengthy (> 130 characters), try and redue it to under a 100 characters to be more succint. ","Decrease the number of characters used. This will make your content crisp, readable and likely generate more interest.",Ideal: ~ 25 to 130
